prov,edad,periodo,nac,prov_cod
Araba/Álava,40,2009,78,01
Araba/Álava,40,2010,107,01
Araba/Álava,40,2011,101,01
Araba/Álava,40,2012,109,01
Araba/Álava,40,2013,101,01
Araba/Álava,40,2014,115,01
Araba/Álava,40,2015,131,01
Araba/Álava,40,2016,131,01
Araba/Álava,40,2017,143,01
Araba/Álava,40,2018,117,01
Araba/Álava,40,2019,94,01
Araba/Álava,40,2020,111,01
Araba/Álava,40,2021,91,01
Araba/Álava,40,2022,124,01
Araba/Álava,40,2023,102,01
Araba/Álava,40,2024,96,01
Araba/Álava,41,1996,12,01
Araba/Álava,41,1997,12,01
Araba/Álava,41,1998,13,01
Araba/Álava,41,1999,15,01
Araba/Álava,41,2000,13,01
Araba/Álava,41,2001,32,01
Araba/Álava,41,2002,22,01
Araba/Álava,41,2003,42,01
Araba/Álava,41,2004,32,01
Araba/Álava,41,2005,39,01
Araba/Álava,41,2006,46,01
Araba/Álava,41,2007,50,01
Araba/Álava,41,2008,49,01
Araba/Álava,41,2009,48,01
Araba/Álava,41,2010,60,01
Araba/Álava,41,2011,52,01
Araba/Álava,41,2012,57,01
Araba/Álava,41,2013,58,01
Araba/Álava,41,2014,70,01
Araba/Álava,41,2015,76,01
Araba/Álava,41,2016,78,01
Araba/Álava,41,2017,86,01
Araba/Álava,41,2018,75,01
Araba/Álava,41,2019,71,01
Araba/Álava,41,2020,77,01
Araba/Álava,41,2021,80,01
