prov_cod,prov,comarca_cod,comarca_cod_full,comarca,comarca_es,comarca_eu,municipio_cod,municipio_cod_full,municipio,municipio_norm
20,Gipuzkoa,06,2006,Tolosaldea,Tolosaldea,Tolosaldea,052,20052,Legorreta,Legorreta
20,Gipuzkoa,06,2006,Tolosaldea,Tolosaldea,Tolosaldea,054,20054,Lizartza,Lizartza
20,Gipuzkoa,06,2006,Tolosaldea,Tolosaldea,Tolosaldea,905,20905,Orendain,Orendain
20,Gipuzkoa,06,2006,Tolosaldea,Tolosaldea,Tolosaldea,060,20060,Orexa,Orexa
20,Gipuzkoa,06,2006,Tolosaldea,Tolosaldea,Tolosaldea,071,20071,Tolosa,Tolosa
20,Gipuzkoa,06,2006,Tolosaldea,Tolosaldea,Tolosaldea,075,20075,Villabona,Villabona
20,Gipuzkoa,06,2006,Tolosaldea,Tolosaldea,Tolosaldea,028,20028,Zizurkil,Zizurkil
20,Gipuzkoa,07,2007,Urola Kosta,Urola Kosta,Urola Kosta,016,20016,Aia,Aia
20,Gipuzkoa,07,2007,Urola Kosta,Urola Kosta,Urola Kosta,003,20003,Aizarnazabal,Aizarnazabal
20,Gipuzkoa,07,2007,Urola Kosta,Urola Kosta,Urola Kosta,017,20017,Azkoitia,Azkoitia
20,Gipuzkoa,07,2007,Urola Kosta,Urola Kosta,Urola Kosta,018,20018,Azpeitia,Azpeitia
20,Gipuzkoa,07,2007,Urola Kosta,Urola Kosta,Urola Kosta,020,20020,Beizama,Beizama
20,Gipuzkoa,07,2007,Urola Kosta,Urola Kosta,Urola Kosta,066,20066,Errezil,Errezil
20,Gipuzkoa,07,2007,Urola Kosta,Urola Kosta,Urola Kosta,039,20039,Getaria,Getaria
20,Gipuzkoa,07,2007,Urola Kosta,Urola Kosta,Urola Kosta,061,20061,Orio,Orio
20,Gipuzkoa,07,2007,Urola Kosta,Urola Kosta,Urola Kosta,079,20079,Zarautz,Zarautz
20,Gipuzkoa,07,2007,Urola Kosta,Urola Kosta,Urola Kosta,027,20027,Zestoa,Zestoa
20,Gipuzkoa,07,2007,Urola Kosta,Urola Kosta,Urola Kosta,081,20081,Zumaia,Zumaia
48,Bizkaia,01,4801,Arratia-Nerbioi / Arratia-Nervión,Arratia-Nerbioi / Arratia-Nervión,Arratia-Nerbioi,005,48005,Arakaldo,Arakaldo
48,Bizkaia,01,4801,Arratia-Nerbioi / Arratia-Nervión,Arratia-Nerbioi / Arratia-Nervión,Arratia-Nerbioi,006,48006,Arantzazu,Arantzazu
48,Bizkaia,01,4801,Arratia-Nerbioi / Arratia-Nervión,Arratia-Nerbioi / Arratia-Nervión,Arratia-Nerbioi,093,48093,Areatza,Areatza
48,Bizkaia,01,4801,Arratia-Nerbioi / Arratia-Nervión,Arratia-Nerbioi / Arratia-Nervión,Arratia-Nerbioi,009,48009,Arrankudiaga-Zollo,Arrankudiaga-Zollo
48,Bizkaia,01,4801,Arratia-Nerbioi / Arratia-Nervión,Arratia-Nerbioi / Arratia-Nervión,Arratia-Nerbioi,023,48023,Artea,Artea
48,Bizkaia,01,4801,Arratia-Nerbioi / Arratia-Nervión,Arratia-Nerbioi / Arratia-Nervión,Arratia-Nerbioi,026,48026,Dima,Dima
48,Bizkaia,01,4801,Arratia-Nerbioi / Arratia-Nervión,Arratia-Nerbioi / Arratia-Nervión,Arratia-Nerbioi,094,48094,Igorre,Igorre
48,Bizkaia,01,4801,Arratia-Nerbioi / Arratia-Nervión,Arratia-Nerbioi / Arratia-Nervión,Arratia-Nerbioi,075,48075,Orozko,Orozko
48,Bizkaia,01,4801,Arratia-Nerbioi / Arratia-Nervión,Arratia-Nerbioi / Arratia-Nervión,Arratia-Nerbioi,072,48072,Otxandio,Otxandio
48,Bizkaia,01,4801,Arratia-Nerbioi / Arratia-Nervión,Arratia-Nerbioi / Arratia-Nervión,Arratia-Nerbioi,088,48088,Ubide,Ubide
48,Bizkaia,01,4801,Arratia-Nerbioi / Arratia-Nervión,Arratia-Nerbioi / Arratia-Nervión,Arratia-Nerbioi,065,48065,Ugao-Miraballes,Ugao-Miraballes
48,Bizkaia,01,4801,Arratia-Nerbioi / Arratia-Nervión,Arratia-Nerbioi / Arratia-Nervión,Arratia-Nerbioi,074,48074,Urduña/Orduña,Urduña / Orduña
48,Bizkaia,01,4801,Arratia-Nerbioi / Arratia-Nervión,Arratia-Nerbioi / Arratia-Nervión,Arratia-Nerbioi,024,48024,Zeanuri,Zeanuri
48,Bizkaia,01,4801,Arratia-Nerbioi / Arratia-Nervión,Arratia-Nerbioi / Arratia-Nervión,Arratia-Nerbioi,025,48025,Zeberio,Zeberio
48,Bizkaia,02,4802,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,Bilbo Handia,002,48002,Abanto y Ciérvana-Abanto Zierbena,Abanto y Ciérvana-Abanto Zierbena
48,Bizkaia,02,4802,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,Bilbo Handia,912,48912,Alonsotegi,Alonsotegi
48,Bizkaia,02,4802,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,Bilbo Handia,011,48011,Arrigorriaga,Arrigorriaga
48,Bizkaia,02,4802,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,Bilbo Handia,013,48013,Barakaldo,Barakaldo
48,Bizkaia,02,4802,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,Bilbo Handia,015,48015,Basauri,Basauri
48,Bizkaia,02,4802,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,Bilbo Handia,016,48016,Berango,Berango
48,Bizkaia,02,4802,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,Bilbo Handia,020,48020,Bilbao,Bilbao
48,Bizkaia,02,4802,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,Bilbo Handia,901,48901,Derio,Derio
48,Bizkaia,02,4802,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,Bilbo Handia,902,48902,Erandio,Erandio
48,Bizkaia,02,4802,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,Bilbo Handia,029,48029,Etxebarri,Etxebarri
48,Bizkaia,02,4802,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,Bilbo Handia,036,48036,Galdakao,Galdakao
48,Bizkaia,02,4802,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,Bilbo Handia,044,48044,Getxo,Getxo
48,Bizkaia,02,4802,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,Bilbo Handia,052,48052,Larrabetzu,Larrabetzu
48,Bizkaia,02,4802,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,Bilbo Handia,054,48054,Leioa,Leioa
48,Bizkaia,02,4802,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,Bilbo Handia,081,48081,Lezama,Lezama
48,Bizkaia,02,4802,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,Bilbo Handia,903,48903,Loiu,Loiu
48,Bizkaia,02,4802,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,Bilbo Handia,071,48071,Muskiz,Muskiz
48,Bizkaia,02,4802,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,Bilbo Handia,083,48083,Ortuella,Ortuella
48,Bizkaia,02,4802,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,Bilbo Handia,078,48078,Portugalete,Portugalete
48,Bizkaia,02,4802,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,Bilbo Handia,082,48082,Santurtzi,Santurtzi
48,Bizkaia,02,4802,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,Bilbo Handia,084,48084,Sestao,Sestao
48,Bizkaia,02,4802,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,Bilbo Handia,904,48904,Sondika,Sondika
48,Bizkaia,02,4802,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,Bilbo Handia,916,48916,Usansolo,Usansolo
48,Bizkaia,02,4802,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,Bilbo Handia,080,48080,Valle de Trápaga-Trapagaran,Valle de Trápaga-Trapagaran
48,Bizkaia,02,4802,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,Bilbo Handia,905,48905,Zamudio,Zamudio
48,Bizkaia,02,4802,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,Bilbo Handia,097,48097,Zaratamo,Zaratamo
48,Bizkaia,02,4802,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,Bilbo Handia,913,48913,Zierbena,Zierbena
48,Bizkaia,03,4803,Durangaldea / Duranguesado,Durangaldea / Duranguesado,Durangaldea,001,48001,Abadiño,Abadiño
48,Bizkaia,03,4803,Durangaldea / Duranguesado,Durangaldea / Duranguesado,Durangaldea,003,48003,Amorebieta-Etxano,Amorebieta-Etxano
48,Bizkaia,03,4803,Durangaldea / Duranguesado,Durangaldea / Duranguesado,Durangaldea,091,48091,Atxondo,Atxondo
48,Bizkaia,03,4803,Durangaldea / Duranguesado,Durangaldea / Duranguesado,Durangaldea,092,48092,Bedia,Bedia
48,Bizkaia,03,4803,Durangaldea / Duranguesado,Durangaldea / Duranguesado,Durangaldea,019,48019,Berriz,Berriz
48,Bizkaia,03,4803,Durangaldea / Duranguesado,Durangaldea / Duranguesado,Durangaldea,027,48027,Durango,Durango
48,Bizkaia,03,4803,Durangaldea / Duranguesado,Durangaldea / Duranguesado,Durangaldea,032,48032,Elorrio,Elorrio
48,Bizkaia,03,4803,Durangaldea / Duranguesado,Durangaldea / Duranguesado,Durangaldea,034,48034,Ermua,Ermua
48,Bizkaia,03,4803,Durangaldea / Duranguesado,Durangaldea / Duranguesado,Durangaldea,039,48039,Garai,Garai
48,Bizkaia,03,4803,Durangaldea / Duranguesado,Durangaldea / Duranguesado,Durangaldea,910,48910,Iurreta,Iurreta
48,Bizkaia,03,4803,Durangaldea / Duranguesado,Durangaldea / Duranguesado,Durangaldea,050,48050,Izurtza,Izurtza
48,Bizkaia,03,4803,Durangaldea / Duranguesado,Durangaldea / Duranguesado,Durangaldea,055,48055,Lemoa,Lemoa
48,Bizkaia,03,4803,Durangaldea / Duranguesado,Durangaldea / Duranguesado,Durangaldea,058,48058,Mallabia,Mallabia
48,Bizkaia,03,4803,Durangaldea / Duranguesado,Durangaldea / Duranguesado,Durangaldea,059,48059,Mañaria,Mañaria
